timestamp_nano,datetime_utc,name,axis_x,accuracy
712760654667590,2024-03-21T19:39:47.897Z,tcs3407 uncalibrated lux sensor,1478.0,3
712760999436856,2024-03-21T19:39:48.242Z,tcs3407 uncalibrated lux sensor,1404.0,3
712761344206922,2024-03-21T19:39:48.588Z,tcs3407 uncalibrated lux sensor,1505.0,3
712761678979188,2024-03-21T19:39:48.922Z,tcs3407 uncalibrated lux sensor,1489.0,3
712762015086788,2024-03-21T19:39:49.258Z,tcs3407 uncalibrated lux sensor,1392.0,3
712762365194921,2024-03-21T19:39:49.608Z,tcs3407 uncalibrated lux sensor,1103.0,3
712762705272787,2024-03-21T19:39:49.948Z,tcs3407 uncalibrated lux sensor,852.0,3
712763045351220,2024-03-21T19:39:50.289Z,tcs3407 uncalibrated lux sensor,836.0,3
712763388764053,2024-03-21T19:39:50.631Z,tcs3407 uncalibrated lux sensor,700.0,3
712763732178653,2024-03-21T19:39:50.975Z,tcs3407 uncalibrated lux sensor,597.0,3
712764073594153,2024-03-21T19:39:51.316Z,tcs3407 uncalibrated lux sensor,731.0,3
712764412278153,2024-03-21T19:39:51.655Z,tcs3407 uncalibrated lux sensor,867.0,3
712764753629686,2024-03-21T19:39:51.996Z,tcs3407 uncalibrated lux sensor,1156.0,3
712765094982519,2024-03-21T19:39:52.337Z,tcs3407 uncalibrated lux sensor,1418.0,3
712765436336585,2024-03-21T19:39:52.679Z,tcs3407 uncalibrated lux sensor,1389.0,3
712765777658251,2024-03-21T19:39:53.021Z,tcs3407 uncalibrated lux sensor,1321.0,3
712766118981184,2024-03-21T19:39:53.362Z,tcs3407 uncalibrated lux sensor,1377.0,3
712766460305417,2024-03-21T19:39:53.704Z,tcs3407 uncalibrated lux sensor,1471.0,3
712766801630883,2024-03-21T19:39:54.045Z,tcs3407 uncalibrated lux sensor,1394.0,3
712767134292049,2024-03-21T19:39:54.377Z,tcs3407 uncalibrated lux sensor,1292.0,3
712767468287782,2024-03-21T19:39:54.712Z,tcs3407 uncalibrated lux sensor,1350.0,3
712767802284482,2024-03-21T19:39:55.046Z,tcs3407 uncalibrated lux sensor,1393.0,3
712768136282448,2024-03-21T19:39:55.380Z,tcs3407 uncalibrated lux sensor,1312.0,3
712768382683499,2024-03-21T19:39:55.625Z,tcs3407 uncalibrated lux sensor,1241.0,3
712768470282448,2024-03-21T19:39:55.714Z,tcs3407 uncalibrated lux sensor,1264.0,3
712768716683499,2024-03-21T19:39:55.959Z,tcs3407 uncalibrated lux sensor,1179.0,3
712769050683499,2024-03-21T19:39:56.293Z,tcs3407 uncalibrated lux sensor,1295.0,3
712769384683499,2024-03-21T19:39:56.628Z,tcs3407 uncalibrated lux sensor,1364.0,3
