datetime_utc,gps_interval,accuracy,latitude,longitude
2024-03-07T17:42:07.277Z,15.0,27.362,-23.9432909,-46.3774294
2024-03-07T17:42:22.597Z,15.0,66.937,-23.943289,-46.3774134
